Windsor and Maidenhead,P9,E06000040,00ME
Peterborough,K3,E06000031,00JA
Blaenau Gwent,X2,W06000019,00PL
Wrexham,Z4,W06000006,00NL
Flintshire,Y1,W06000005,00NJ
Dudley,D7,E08000027,00CR
Barnet,A2,E09000003,00AC
London,H9,E09000001,00AA
Tower Hamlets,O5,E09000030,00BG
Kent,G5,E07000105,29UB
Kent,G5,E07000106,29UC
Kent,G5,E07000107,29UD
Kent,G5,E07000108,29UE
Kent,G5,E07000109,29UG
Kent,G5,E07000110,29UH
Kent,G5,E07000111,29UK
Kent,G5,E07000112,29UL
Kent,G5,E07000113,29UM
Kent,G5,E07000114,29UN
Kent,G5,E07000115,29UP
Kent,G5,E07000116,29UQ
Enfield,E3,E09000010,00AK
Rochdale,L2,E08000005,00BQ
Liverpool,H8,E08000012,00BY
Brighton and Hove,B6,E06000043,00ML
Kirklees,G8,E08000034,00CZ
Lancashire,H2,E07000117,30UD
Lancashire,H2,E07000118,30UE
Lancashire,H2,E07000119,30UF
Lancashire,H2,E07000120,30UG
Lancashire,H2,E07000121,30UH
Lancashire,H2,E07000122,30UJ
Lancashire,H2,E07000123,30UK
Lancashire,H2,E07000124,30UL
Lancashire,H2,E07000125,30UM
Lancashire,H2,E07000126,30UN
Lancashire,H2,E07000127,30UP
Lancashire,H2,E07000128,30UQ
Carmarthenshire,X7,W06000010,00NU
Clackmannanshire,U1,S12000005,00QF
Neath Port Talbot,Y5,W06000012,00NZ
Hertford,F8,E07000095,26UB
Hertford,F8,E07000096,26UC
Hertford,F8,E07000097,26UD
Hertford,F8,E07000098,26UE
Hertford,F8,E07000099,26UF
Hertford,F8,E07000100,26UG
Hertford,F8,E07000101,26UH
Hertford,F8,E07000102,26UJ
Hertford,F8,E07000103,26UK
Hertford,F8,E07000104,26UL
Sefton,L8,E08000014,00CA
York,Q5,E06000014,00FF
Dorset,D6,E07000048,19UC
Dorset,D6,E07000049,19UD
Dorset,D6,E07000050,19UE
Dorset,D6,E07000051,19UG
Dorset,D6,E07000052,19UH
Dorset,D6,E07000053,19UJ
Bury,C1,E08000002,00BM
East Ayrshire,U4,S12000008,00QK
Torfaen,Z2,W06000020,00PM
Norfolk,I9,E07000143,33UB
Norfolk,I9,E07000144,33UC
Norfolk,I9,E07000145,33UD
Norfolk,I9,E07000146,33UE
Norfolk,I9,E07000147,33UF
Norfolk,I9,E07000148,33UG
Norfolk,I9,E07000149,33UH
Luton,I1,E06000032,00KA
Angus,T7,S12000041,00QC
Southampton,M4,E06000045,00MS
Milton Keynes,I6,E06000042,00MG
South Gloucestershire,M6,E06000025,00HD
Wakefield,O7,E08000036,00DB
Solihull,M2,E08000029,00CT
Waltham Forest,O9,E09000031,00BH
Cambridgeshire,C3,E07000008,12UB
Cambridgeshire,C3,E07000009,12UC
Cambridgeshire,C3,E07000010,12UD
Cambridgeshire,C3,E07000011,12UE
Cambridgeshire,C3,E07000012,12UG
Newport,Y6,W06000022,00PR
Bexley,A6,E09000004,00AD
Wirral,Q1,E08000015,00CB
Thurrock,O3,E06000034,00KG
Barnsley,A3,E08000016,00CC
Ceredigion,X6,W06000008,00NQ
Gateshead,E5,E08000020,00CH
Fife,V1,S12000015,00QR
Hartlepool,F5,E06000001,00EB
Redbridge,K8,E09000026,00BC
Newham,I8,E09000025,00BB
Merthyr Tydfil,Y3,W06000024,00PH
Nottingham,J8,E06000018,00FY
Wigan,P7,E08000010,00BWE8
Manchester,I2,E08000003,00BN
Darlington,D1,E06000005,00EH
Bridgend,X3,W06000013,00PB
Brent,B5,E09000005,00AE
Southend-on-Sea,M5,E06000033,00KF
Lambeth,H1,E09000022,00AY
Falkirk,U9,S12000014,00QQ
Kensington and Chelsea,G4,E09000020,00AW
Hounslow,G1,E09000018,00AT
Oldham,K1,E08000004,00BP
Halton,E9,E06000006,00ET
Hammersmith and Fulham,F1,E09000013,00AN
Denbighshire,X9,W06000004,00NG
Slough,M1,E06000039,00MD
Midlothian,V5,S12000019,00QW
South Lanarkshire,W5,S12000029,00RF
Reading,K7,E06000038,00MC
Edinburgh,U8,S12000036,00QP
Croydon,C8,E09000008,00AH
Sheffield,L9,E08000019,00CG
Blackburn with Darwen,A8,E06000008,00EX
Merton,I4,E09000024,00BA
East Sussex,E2,E07000061,21UC
East Sussex,E2,E07000062,21UD
East Sussex,E2,E07000063,21UF
East Sussex,E2,E07000064,21UG
East Sussex,E2,E07000065,21UH
Newcastle upon Tyne,I7,E08000021,00CJ
Leeds,H3,E08000035,00DA
